name,phone_esteem
 三星Galaxy S23 Ultra ,96.09%
 realme GT5 ,94.69%
 努比亚Z50 Ultra ,93.74%
 vivo X90 Pro+ ,92.73%
 三星Galaxy S23 ,91.94%
 小米13 Pro ,91.68%
 荣耀Magic5 至臻版 ,90.97%
 荣耀X40 GT ,90.96%
 荣耀Magic5 Pro ,90.72%
 小米13 Ultra ,90.48%
 一加Ace 2 Pro ,90.28%
 一加手机11 ,90.09%
 OPPO Find X6 Pro ,89.17%
 华为P60 Art ,88.76%
 小米13 ,88.23%
 华为Mate 50 Pro ,88.21%
 iQOO 11 Pro ,88.16%
 iQOO Z8 ,87.80%
 vivo X90s ,87.41%
 荣耀90 Pro ,87.30%
 OPPO K10 5G ,87.13%
 Redmi Note 12 Turbo ,86.92%
 三星Galaxy S22 Ultra 5G (8 Gen1) ,86.74%
 拯救者Y70 ,86.68%
 Redmi K60 Pro ,85.34%
 vivo X90 ,85.31%
 华为P60 ,85.18%
 努比亚Z50 ,84.87%
 荣耀80 GT ,84.74%
 OPPO Find X6 ,84.24%
 Redmi K60 至尊版 ,84.13%
 小米12S Pro ,84.12%
 iQOO 11S ,84.08%
 华为Mate 50 ,83.78%
 华为nova 11 ,83.75%
 一加Ace 2 ,83.60%
 一加Ace Pro ,83.52%
 iQOO Neo7 SE ,83.49%
 Redmi Note 11T Pro+ ,83.28%
 OPPO Reno9 Pro+ 5G ,83.24%
 iQOO Neo8 ,83.17%
 iQOO Z7 ,83.06%
 Redmi Note12T Pro ,82.27%
 红魔8S Pro ,81.85%
 Redmi K60 ,81.32%
 Redmi Note 11T Pro ,81.22%
 iQOO Neo8 Pro ,81.09%
 荣耀Magic5 ,80.97%
 一加Ace 竞速版 ,80.75%
 realme GT Neo5 (150W) ,79.88%
 荣耀80 Pro ,79.30%
 小米Civi 3 ,79.09%
 OPPO Reno10 Pro+ 5G ,78.22%
 一加Ace 2V ,77.06%
 realme GT Neo5 SE ,76.89%
 荣耀70 ,74.12%
 Redmi K60E ,73.85%
 iQOO Neo7 ,72.68%
