name,phone_cpu,phone_gpu,phone_mem,phone_ux,phone_sum
一加Ace 2 Pro,411753,606517,345894,298603,1662767 分
iQOO 11S,408031,602591,358348,276474,1645443 分
红魔8S Pro,407835,635614,296640,289566,1629654 分
iQOO 11 Pro,407594,599490,344383,274827,1626293 分
vivo X90 Pro+,408593,599330,332558,277259,1617740 分
realme GT5,396279,589355,321838,289011,1596482 分
OPPO Find X6 Pro,406155,594238,298770,285031,1584194 分
一加手机11,397004,593759,304850,284232,1579843 分
小米13 Ultra,378042,597732,310655,273865,1560294 分
iQOO Neo8 Pro,382741,553493,324256,291816,1552305 分
小米13,387170,601545,287764,271236,1547715 分
Redmi K60 Pro,382570,596934,291148,275708,1546359 分
vivo X90s,409078,541793,310326,285085,1546282 分
小米MIX Fold 3,365144,614441,281999,278980,1540563 分
努比亚Z50 Ultra,368641,605135,296647,269763,1540186 分
努比亚Z50,368492,605104,292931,270571,1537098 分
小米13 Pro,379193,595841,284585,276213,1535831 分
Redmi K60 至尊版,387436,529019,328802,272874,1518131 分
三星Galaxy S23 Ultra,370863,583500,282345,267850,1504557 分
vivo X90,401852,533591,294095,272176,1501712 分
OPPO Find X6,396017,492857,320762,285026,1494661 分
三星Galaxy S23,367839,573337,263724,259660,1464560 分
三星Galaxy Z Fold5,372235,528926,293163,263538,1457860 分
荣耀Magic5 Pro,296191,580801,273931,230954,1381877 分
荣耀Magic5 至臻版,287813,579883,270966,226490,1365152 分
OPPO Reno10 Pro+ 5G,366665,488757,249341,258209,1362970 分
一加Ace 2,372124,490223,233793,255328,1351468 分
iQOO Neo7 竞速版,361794,488228,259383,237525,1346930 分
荣耀Magic V2,263296,617688,240921,220038,1341943 分
拯救者平板Y700 2023,363281,480723,227645,256922,1328570 分
OPPO Reno9 Pro+ 5G,358517,495387,223743,247853,1325499 分
iQOO 10 Pro,348727,483185,251642,241622,1325175 分
一加Ace Pro,363699,487242,228102,245556,1324596 分
小米12S Pro,359303,481087,233385,248192,1321967 分
Redmi K60,348501,484598,242415,245906,1321420 分
iQOO 10,342901,487157,255898,235445,1321401 分
iQOO Neo8,349080,464863,261582,239642,1315166 分
拯救者Y70,355717,489512,217217,250614,1313060 分
Redmi K50 至尊版,359512,475849,227435,246072,1308868 分
realme GT Neo5,346887,469589,236605,253856,1306937 分
小米平板6 Pro,352055,471142,219253,260334,1302784 分
小米12S Ultra,346384,475874,208065,247837,1278158 分
华为P60 Art,354016,470865,208603,229394,1262878 分
荣耀Magic5,244190,580773,202852,227316,1255129 分
华为P60 Pro,354866,470986,190460,229848,1246160 分
iQOO 9,323319,448104,235842,229105,1236370 分
iQOO 9 Pro,320733,436253,235054,232061,1224101 分
华为Mate 50 Pro,357988,443987,171933,225195,1199103 分
iQOO Neo6,315238,433989,223755,222991,1195973 分
华为P60,343971,452839,172110,224297,1193216 分
Redmi K50 电竞版,307391,414389,207116,231267,1160163 分
小米12 Pro,305379,420456,201294,233002,1160130 分
realme GT Neo5 SE,334566,342868,229644,242656,1149733 分
Redmi Note 12 Turbo,346978,337088,230411,234083,1148560 分
iQOO Neo7,369558,303879,231817,235455,1140709 分
vivo X80,362253,301461,223107,231527,1118346 分
一加Ace 2V,362953,296377,221109,234964,1115402 分
荣耀80 GT,270992,411071,215809,216545,1114416 分
iQOO Pad,359395,299844,188017,254425,1101681 分
华为Mate 50,351914,339278,171548,218811,1081550 分
荣耀90 Pro,268635,354819,219965,211978,1055397 分
Redmi K50 Pro,349492,291108,191193,221872,1053664 分
荣耀80 Pro,251309,365447,211154,203543,1031452 分
三星Galaxy S22 Ultra 5G,290679,333342,185281,205794,1015096 分
iQOO Z8,277233,239081,220100,222746,959160 分
iQOO 7,257076,305927,179965,207268,950236 分
iQOO Neo7 SE,275822,239156,209400,224288,948666 分
iQOO Neo5S,253964,303298,184282,203964,945507 分
vivo S17 Pro,270396,233706,207096,229752,940950 分
OPPO Reno10 Pro 5G,264934,234208,204533,223843,927518 分
iQOO 8,253758,301591,177730,192619,925696 分
荣耀Magic4,202647,375884,159675,173204,911410 分
realme GT,236691,299840,170616,202401,909548 分
荣耀Magic4 至臻版,196846,379645,163970,167847,908308 分
Redmi K40 Pro,242768,285802,159155,209496,897220 分
一加Ace 竞速版,273279,215522,190488,209449,888736 分
荣耀Magic4 Pro,199285,365050,155067,167002,886404 分
Redmi K60E,255638,222806,202052,204881,885377 分
小米Civi 3,255193,228539,191233,209184,884149 分
Redmi Note12T Pro,256917,231531,187982,207185,883615 分
小米11 Ultra,230544,263366,177787,210155,881852 分
realme GT Neo 3,263167,215492,175961,209695,864315 分
荣耀X40 GT,223411,261332,176667,201697,863107 分
荣耀X40 GT竞速版,219920,259846,172959,198681,851406 分
小米11 Pro,223169,249372,167888,204240,844669 分
OPPO K10 5G,264643,178111,185513,205470,833737 分
Redmi K50,250452,203251,179237,198298,831238 分
Redmi Note 11T Pro,249773,194845,188131,195530,828277 分
iQOO Neo6 SE,237186,214607,179157,195088,826038 分
iQOO Neo5 SE,243264,214542,158141,206131,822076 分
小米11,212161,243651,163241,197906,816959 分
Redmi Note 11T Pro+,251159,199325,164939,198832,814255 分
OPPO Find X3,244649,216548,151629,197289,810115 分
realme GT 大师探索版,241336,218533,154559,195466,809894 分
拯救者平板Y700,227874,215109,155735,208844,807560 分
iQOO Neo5 活力版,239976,214881,160636,190748,806240 分
Redmi K40,234240,216886,148031,202760,801916 分
iQOO Neo5,236766,213989,155749,189137,795641 分
小米10S,231037,216476,148931,195094,791538 分
Redmi K40S,230207,216591,138836,199693,785327 分
小米10 Pro,226949,197102,147833,185548,757431 分
小米10 至尊纪念版,225012,198598,138586,194391,756586 分
iQOO Neo3,237033,193490,136654,187938,755115 分
Redmi K30S 至尊纪念版,226230,196627,140262,190164,753283 分
小米10,223720,195666,145491,187493,752370 分
Redmi K30 Pro,233588,195543,143504,178066,750701 分
Redmi Note 13 Pro+,230554,183042,159493,169511,742600 分
vivo S17e,243646,179299,142222,172530,737696 分
荣耀90,214458,168299,159721,138102,680580 分
iQOO Z7,222638,164379,135923,147052,669991 分
荣耀80,202633,166895,137144,144233,650903 分
vivo S17,208716,148399,133802,139093,630010 分
荣耀70,193607,148861,122096,137370,601933 分
Redmi Note 13 Pro,197495,116760,126036,145721,586012 分
华为nova 11,188238,137894,124202,133507,583841 分
荣耀50,193747,140095,123273,125943,583058 分
华为nova 10,191346,133671,120508,131464,576989 分
