Socname,image,object,oversub,score
骁龙8+ Gen 1,1078389,1320543,731465,3130397 
骁龙8 Gen 1,1047147,1211523,742661,3001331 
天玑9200,508219,255357,1051856,1815432 
骁龙888,557868,789289,338710,1685867 
天玑9000,421523,197012,804525,1423060 
天玑9000+,352308,192639,833001,1377948 
骁龙7+ Gen 2,568178,189520,451185,1208883 
Exynos 2100,482914,404561,312219,1199694 
天玑8100,326007,149610,589807,1065424 
天玑8100-Max,329084,150856,533068,1013008 
天玑8200,223883,146981,569931,940795 
骁龙778G,281896,412398,159926,854220 
天玑1200,220304,136860,373238,730402 
天玑1100,202539,143132,351017,696688 
天玑1000L,198290,140492,325990,664772 
天玑1000+,192994,117870,328170,639034 
Google Tensor,184544,191594,154448,530586 
天玑820,140262,111998,227823,480083 
天玑1080,131333,107775,222391,461499 
天玑900,132049,109305,214989,456343 
天玑800,122867,122847,192755,438469 
骁龙870,129861,142733,57053,329647 
骁龙860,75874,80044,60082,216000 
天玑720,46502,57590,47311,151403 
天玑800U,46692,53797,49598,150087 
Helio G90T,44752,50982,42648,138382 
麒麟820,55479,41908,38429,135816 
骁龙695,49731,53129,23023,125883 
骁龙480,49196,51315,21641,122152 
骁龙680,42258,44919,14492,101669 
麒麟960,36869,54483,5110,96462 
Exynos 990,37382,43042,8051,88475 
麒麟980,33139,37153,13711,84003 
天玑810,31756,34195,16476,82427 
天玑930,30004,33783,17238,81025 
天玑700,31385,33777,15803,80965 
麒麟970,29733,37104,13475,80312 
Helio G99,29995,32909,15964,78868 
Helio G96,30374,32598,15426,78398 
麒麟810,29257,38606,8915,76778 
Helio G85,30619,32786,12929,76334 
Helio G80,30160,32365,12706,75231 
Exynos 9820,31859,37075,4366,73300 
Exynos 9825,31271,35488,3945,70704 
Helio P65,28707,31401,8969,69077 
虎贲T618,28753,37544,2753,69050 
Helio P60,29642,33535,3710,66887 
