name,phone_esteem
 iPad Pro 2 (10.5-inch) ,96.68%
 iPad Air 4 ,96.33%
 iPhone 12 mini ,95.88%
 iPhone SE2 ,95.20%
 iPad Pro 4 (12.9-inch) ,94.89%
 iPad Pro 2 (11-inch) ,94.83%
 iPad Pro 3 (11-inch) ,94.26%
 iPad Air 5 ,93.40%
 iPad mini 5 ,93.36%
 iPhone 8 ,93.17%
 iPad Pro (11-inch) ,92.90%
 iPad Pro 5 (12.9-inch) ,92.71%
 iPhone 13 mini ,91.62%
 iPad Pro 3 (12.9-inch) ,91.43%
 iPhone 11 Pro ,91.07%
 iPhone XS Max ,91.04%
 iPad 8 ,91.00%
 iPhone 11 Pro Max ,89.85%
 iPhone XS ,88.52%
 iPhone 11 ,88.49%
 iPad mini 6 ,88.27%
 iPhone SE3 ,87.82%
 iPhone 12 ,87.82%
 iPhone 12 Pro ,87.80%
 iPad Pro 6 (12.9-inch) ,86.55%
 iPad Pro 4 (11-inch) ,86.23%
 iPhone 14 Pro ,85.50%
 iPhone 14 Pro Max ,84.46%
 iPad 6 ,84.45%
 iPhone 12 Pro Max ,83.85%
 iPhone 15 Pro Max ,83.52%
 iPhone 13 Pro Max ,83.24%
 iPhone XR ,82.48%
 iPad 9 ,82.44%
 iPhone 13 Pro ,82.42%
 iPhone 14 Plus ,82.29%
 iPhone 14 ,79.29%
