name,phone_cpu,phone_gpu,phone_mem,phone_ux,phone_sum
iPad Pro 4 (11-inch) ,542086,817502,267168,392094,2018849 分
iPad Pro 5 (12.9-inch) ,479548,760267,211382,342875,1794071 分
iPad Pro 3 (11-inch) ,473774,727264,213168,342567,1756773 分
iPad Air 5 ,474582,670256,191533,347221,1683591 分
iPhone 15 Pro ,387262,527749,272907,338976,1526893 分
iPhone 15 Pro Max ,383557,511558,265058,340041,1500213 分
iPhone 14 Pro ,371018,470938,263702,341487,1447143 分
iPhone 14 Pro Max ,370558,466691,260772,343088,1441109 分
iPhone 15 Plus ,356632,436156,282258,320017,1395062 分
iPhone 15 ,351364,441199,258351,316739,1367653 分
iPhone 14 Plus ,328717,437273,218592,326033,1310615 分
iPhone 14 ,324172,435771,217980,326285,1304206 分
iPhone 13 Pro ,322488,424396,229183,327479,1303546 分
iPhone 13 Pro Max ,318268,426519,228686,329490,1302963 分
iPad mini 6 ,325477,424132,179707,339162,1268478 分
iPhone 13 ,309492,391250,213194,321645,1235581 分
iPhone 13 mini ,300279,393157,213155,311373,1217964 分
iPhone SE3 ,267501,351655,209925,334178,1163257 分
iPad Pro 3 (12.9-inch) ,301652,448992,174755,209627,1135026 分
iPad Pro 4 (12.9-inch) ,296361,459347,150396,219733,1125837 分
iPhone 12 Pro Max ,284585,326920,181561,310546,1103612 分
iPad Air 4 ,320974,399338,142356,236018,1098686 分
iPad 10 ,294657,338710,131683,333494,1098544 分
iPad Pro 2 (11-inch) ,299575,431263,148722,218146,1097705 分
iPad Pro (11-inch) ,295889,414570,175622,200864,1086945 分
iPhone 12 Pro ,272555,325556,165741,303292,1067144 分
iPhone 12 ,274087,322417,163630,303375,1063509 分
iPhone 12 mini ,275163,315666,167396,294578,1052802 分
iPad 9 ,236162,296655,135039,303670,971526 分
iPhone 11 Pro Max ,223676,314730,154073,198600,891079 分
iPhone 11 Pro ,220520,314797,155049,194785,885150 分
iPhone 11 ,174729,275862,137468,192164,780223 分
iPad mini 5 ,202445,222298,121673,205245,751661 分
iPad 8 ,185949,210727,132825,198277,727778 分
iPhone SE2 ,168760,235033,122934,199693,726420 分
iPad Pro 2 (12.9-inch) ,183719,204487,86667,227451,702323 分
iPhone XS ,180509,170844,138356,177048,666757 分
iPhone XS Max ,177822,171445,137995,178583,665845 分
iPhone XR ,177913,161435,126283,198732,664361 分
