brand,phonename,cpu,charging,waterproof,screen,characteristic,phonehref,img_url
['一加'],['一加Ace 2 Pro'],['骁龙8 Gen2'],['120-150W'],['IPX4'],['OLED曲面屏'],['屏幕指纹，屏幕高刷新率，光学防抖拍照'],https://item.jd.com/100060368518.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=9f2903f559b0422f9cfcc226d724b621,https://img13.360buyimg.com/n1/s450x450_jfs/t1/206054/18/36509/78792/6539e952F53ca363b/f80846d3baef37f1.jpg
['vivo'],['iQOO 11S'],['骁龙8 Gen2'],['151-200W'],['生活防水'],['OLED直屏'],['E6材质，屏幕指纹，屏幕高刷新率，NFC'],https://item.jd.com/100055626080.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=0baf7360c6524de798acff7ee18f3dfe,https://img10.360buyimg.com/n1/s450x450_jfs/t1/114413/19/42450/104973/65351d12F2eff9076/c1a4abdf016fd795.jpg
['努比亚（nubia）'],['红魔8S Pro'],['骁龙8 Gen2 领先版'],['80-119W'],['生活防水'],['OLED直屏'],['屏幕高刷新率'],https://item.jd.com/100061689359.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=07653cdf5fd5420d83977fc4d31de4e9,https://img14.360buyimg.com/n1/s450x450_jfs/t1/226650/24/693/103366/6535c0e3F746337b9/e639f719a83731f2.jpg
['vivo'],['iQOO 11 Pro'],['骁龙8 Gen2'],['151-200W'],['不支持防水'],['OLED曲面屏'],未知,https://item.jd.com/100048172505.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=224ed9472172492dbbc2a8bd724ebeaa,https://img10.360buyimg.com/n1/s450x450_jfs/t1/177673/39/40683/76925/6536319bF518e0feb/b4d909c9277322dd.jpg
['vivo'],['vivo X90 Pro+'],['骁龙8 Gen2'],['80-119W'],['IP68'],['OLED曲面屏'],未知,https://item.jd.com/10066163292555.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=35a555682667495b94209554b3981154,https://img10.360buyimg.com/n1/s450x450_jfs/t1/194495/23/40561/105743/653795a2F52022700/716364ddf70e6933.jpg
['真我（realme）'],['realme GT5'],['骁龙8 Gen2'],['240W'],['生活防水'],['OLED直屏'],未知,https://item.jd.com/100065762621.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=3687412abfce40bb80b501bdbfc27f3a,https://img11.360buyimg.com/n1/s450x450_jfs/t1/228028/22/563/54638/6532af4cFf55e3537/f033fb6d754df169.jpg
['OPPO'],['OPPO Find X6 Pro'],['骁龙8 Gen2'],['80-119W'],['IP68'],['OLED曲面屏'],['LTPO屏幕，E6材质，屏幕指纹，屏幕高刷新率，光学防抖拍照，高倍率变焦，潜望式长焦，防水防尘，无线充电，NFC，红外遥控'],https://item.jd.com/100054574041.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=95c24bc88d31416f88caa6ca5627c94c,https://img11.360buyimg.com/n1/s450x450_jfs/t1/189039/6/40696/73945/653650e0Fc7003bbf/eb9f869d8e595deb.jpg
['一加'],['一加手机11'],['骁龙8 Gen2'],['80-119W'],['IPX4'],['OLED曲面屏'],['屏幕指纹，屏幕高刷新率，NFC'],https://item.jd.com/100040195622.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=f5e3c43e53914260aa77b3ebb2f5122b,https://img12.360buyimg.com/n1/s450x450_jfs/t1/113213/21/45444/60957/65354937Fb6bace10/705c71e07276a066.jpg
['小米（MI）'],['小米13 Ultra'],['骁龙8 Gen2'],['80-119W'],['IP68'],['OLED曲面屏'],未知,https://item.jd.com/100056974405.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=c51759de247141d094fa1742c6199506,https://img10.360buyimg.com/n1/s450x450_jfs/t1/78873/16/25462/106471/6530b794Fa694582d/f1481cf9ffce746e.jpg
['vivo'],['iQOO Neo8 Pro'],['天玑9200+'],['120-150W'],['IP53'],['OLED直屏'],['屏幕指纹，屏幕高刷新率，光学防抖拍照，NFC'],https://item.jd.com/100051092840.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=76451e08e3594a6c80d13d23a8a73f7c,https://img10.360buyimg.com/n1/s450x450_jfs/t1/236925/20/585/77231/65379955F334c5de0/2d8207fa9a976fa5.jpg
